All Transactions Announced Date,Target/Issuer,Transaction Types,Transaction Status,Buyers/Investors,Sellers/Sponsor,CIQ Transaction ID,First Trade Date [1/1/2015-12/7/2020] [Primary Listing] [Target/Issuer],Company Status [Target/Issuer]
01/04/2018,AIM1 Ventures Inc.,Merger/Acquisition,Closed,James E. Wagner Cultivation Corporation (TSXV:JWCA.H),"Interward Asset Management Ltd.; 2538243 Ontario Inc.; Dorylin Holdings Inc., Asset Management Arm",IQTR548510062,"TSXV:AIMI.P
Company: AIM1 Ventures Inc.
(IQT530052715) - 9/7/2017",Acquired
05/30/2018,Aim2 Ventures Inc.,Merger/Acquisition,Closed,Canopy Rivers Inc. (TSX:RIV),-,IQTR568762458,"TSXV:AIMB.P
Company: Aim2 Ventures Inc.
(IQT548453337) - 2/14/2018",Acquired
01/21/2020,AIM3 Ventures Inc.,Merger/Acquisition,Closed,Vox Royalty Corp. (TSXV:VOX),-,IQTR651863456,"TSXV:AIMC.P
Company: AIM3 Ventures Inc.
(IQT581440953) - 11/15/2018",Acquired
01/21/2019,AIM3 Ventures Inc.,Merger/Acquisition,Cancelled,Southern Sun Pharma Inc.,-,IQTR599152007,"TSXV:AIMC.P
Company: AIM3 Ventures Inc.
(IQT581440953) - 11/15/2018",Acquired
10/14/2020,AIM4 Ventures Inc. (TSXV:AIMD.P),Merger/Acquisition,Announced,TRC Management Holdings Corp.,-,IQTR691856751,"TSXV:AIMD.P
Company: AIM4 Ventures Inc.
(IQT610588085) - 7/5/2019",Operating
02/19/2020,A-Labs Capital I Corp. (TSXV:ALBS.P),Merger/Acquisition,Announced,BTC Corporation Holdings Pty Ltd.,-,IQTR655541422,"TSXV:ALBS.P
Company: A-Labs Capital I Corp.
(IQT579903676) - 11/22/2018",Operating
02/11/2019,A-Labs Capital I Corp. (TSXV:ALBS.P),Merger/Acquisition,Cancelled,Hisense Ltd.,-,IQTR602006990,"TSXV:ALBS.P
Company: A-Labs Capital I Corp.
(IQT579903676) - 11/22/2018",Operating
10/02/2020,A-Labs Capital II Corp. (TSXV:ALAB.P),Merger/Acquisition,Announced,RDARS Inc.,-,IQTR690745603,"TSXV:ALAB.P
Company: A-Labs Capital II Corp.
(IQT587641241) - 3/18/2019",Operating
10/16/2019,A-Labs Capital II Corp. (TSXV:ALAB.P),Merger/Acquisition,Cancelled,S.R.P. Plus Holdings Ltd.,-,IQTR640738369,"TSXV:ALAB.P
Company: A-Labs Capital II Corp.
(IQT587641241) - 3/18/2019",Operating
10/28/2020,Alberton Acquisition Corporation (NasdaqCM:ALAC),Merger/Acquisition,Announced,"SolarMax Technology, Inc.",-,IQTR693398073,"NasdaqCM:ALAC
Company: Alberton Acquisition Corporation
(IQT592001732) - 11/21/2018",Operating
11/01/2016,Alignvest Acquisition Corporation,Merger/Acquisition,Closed,Trilogy International Partners Inc. (TSX:TRL),"Alignvest Management Corporation; Silver Pine Partners, LLC",IQTR408359024,"TSX:AQX.A
Company: Alignvest Acquisition Corporation
(IQT308100670) - 8/5/2015",Acquired
11/08/2019,Allegro Merger Corp.,Merger/Acquisition,Cancelled,TGI Friday's Inc.,-,IQTR643559081,"NasdaqGM:ALGR
Company: Allegro Merger Corp.
(IQT543081182) - 8/13/2018",Operating
12/19/2018,ALP.I S.p.A.,Merger/Acquisition,Closed,Antares Vision S.p.A. (BIT:AV),-,IQTR596080523,"BIT:ALPI
Company: ALP.I S.p.A.
(IQT549639941) - 2/1/2018",Acquired
11/03/2020,Alphanco Venture Corp. (TSXV:AVC.P),Merger/Acquisition,Announced,Marvel Biotechnology Inc.,-,IQTR693934550,"TSXV:AVC.P
Company: Alphanco Venture Corp.
(IQT594231572) - 3/4/2019",Operating
10/13/2020,AMCI Acquisition Corp. (NasdaqCM:AMCI),Merger/Acquisition,Announced,Advent Technologies Inc.,-,IQTR691587895,"NasdaqCM:AMCI
Company: AMCI Acquisition Corp.
(IQT576453700) - 1/23/2019",Operating Subsidiary
11/21/2019,AmWolf Capital Corp. (TSXV:AMW.P),Merger/Acquisition,Announced,Pontus Water Lentils Ltd.,-,IQTR645177418,"TSXV:AMW.P
Company: AmWolf Capital Corp.
(IQT579194734) - 5/27/2019",Operating
11/15/2018,Anchor Capital Corporation,Merger/Acquisition,Closed,Spyder Cannabis Inc. (TSXV:SPDR),-,IQTR591430945,"TSXV:SPDR
Company: Anchor Capital Corporation
(IQT278897683) - 4/7/2015",Acquired
11/05/2018,Anchor Capital Corporation,Merger/Acquisition,Closed,-,-,IQTR590298598,"TSXV:SPDR
Company: Anchor Capital Corporation
(IQT278897683) - 4/7/2015",Acquired
11/22/2016,Anchor Capital Corporation,Merger/Acquisition,Cancelled,"Mark One Lifestyle, Inc.",-,IQTR423541978,"TSXV:SPDR
Company: Anchor Capital Corporation
(IQT278897683) - 4/7/2015",Acquired
11/30/2015,Anchor Capital Corporation,Merger/Acquisition,Cancelled,Clip Interactive LLC,-,IQTR374233556,"TSXV:SPDR
Company: Anchor Capital Corporation
(IQT278897683) - 4/7/2015",Acquired
07/22/2020,Andina Acquisition Corp. III (NasdaqCM:ANDA),Merger/Acquisition,Cancelled,Emmac Life Sciences Limited,-,IQTR678041736,"NasdaqCM:ANDA
Company: Andina Acquisition Corp. III
(IQT574975950) - 3/6/2019",Operating
07/27/2020,Antera Ventures I Corp. (TSXV:ANTI.P),Merger/Acquisition,Announced,Wishpond Technologies Ltd.,-,IQTR679134250,"TSXV:ANTI.P
Company: Antera Ventures I Corp.
(IQT583228392) - 5/7/2019",Operating
11/23/2020,Apex Technology Acquisition Corporation (NasdaqCM:APXT),Merger/Acquisition,Announced,"AvePoint, Inc.",-,IQTR695958475,"NasdaqCM:APXT
Company: Apex Technology Acquisition Corporation
(IQT630485529) - 11/5/2019",Operating Subsidiary
08/13/2020,Aphelion Capital Corp. (TSXV:APHE.P),Merger/Acquisition,Announced,ETI Technologies Inc./Edge AI Ltd.,-,IQTR683542365,"TSXV:APHE.P
Company: Aphelion Capital Corp.
(IQT634673401) - 3/31/2020",Operating
11/07/2017,Apolo Acquisition Corp.,Merger/Acquisition,Closed,CryptoGlobal Corp.,-,IQTR542907581,"TSXV:CPTO
Company: Apolo Acquisition Corp.
(IQT534602728) - 8/17/2017",Acquired
11/13/2018,Apolo II Acquisition Corp.,Merger/Acquisition,Closed,Terrace Global Inc. (TSXV:TRCE),-,IQTR591150631,"TSXV:APII.P
Company: Apolo II Acquisition Corp.
(IQT549345268) - 3/14/2018",Acquired
11/11/2020,Apolo III Acquisition Corp. (TSXV:AIII.P),Merger/Acquisition,Announced,Ruckify Inc.,-,IQTR694656106,"TSXV:AIII.P
Company: Apolo III Acquisition Corp.
(IQT553393377) - 4/9/2018",Operating
05/21/2019,Apolo III Acquisition Corp. (TSXV:AIII.P),Merger/Acquisition,Cancelled,Latitude Global Cannabis Inc.,-,IQTR614337176,"TSXV:AIII.P
Company: Apolo III Acquisition Corp.
(IQT553393377) - 4/9/2018",Operating
07/30/2020,ARYA Sciences Acquisition Corp II,Merger/Acquisition,Closed,"Cerevel Therapeutics Holdings, Inc. (NasdaqCM:CERE)","Bain Capital, LP",IQTR681235905,"NasdaqCM:CERE
Company: ARYA Sciences Acquisition Corp II
(IQT668692071) - 7/30/2020",Acquired
03/17/2020,ARYA Sciences Acquisition Corp.,Merger/Acquisition,Closed,Immatics N.V. (NasdaqCM:IMTX),-,IQTR659132906,"NasdaqGM:ARYA
Company: ARYA Sciences Acquisition Corp.
(IQT589803061) - 12/12/2018",Acquired
12/01/2015,"Asia Equity Exchange Group, Inc.",Merger/Acquisition,Closed,"Asia Equity Exchange Group, Inc. (OTCPK:AEEX)",-,IQTR318226848,"OTCBB:AEEX
Company: Asia Equity Exchange Group, Inc.
(IQT331402770) - 12/1/2015",Acquired
04/03/2018,Atlantic Acquisition Corp.,Merger/Acquisition,Closed,HF Foods Group Inc. (NasdaqCM:HFFG),"Karpus Management Inc.; Polar Asset Management Partners Inc.; Bulldog Investors, LLC; 683 Capital Management, LLC; Periscope Capital Inc; Boothbay Fund Management, LLC",IQTR558011870,"NasdaqCM:ATAC
Company: Atlantic Acquisition Corp.
(IQT530369103) - 9/7/2017",Acquired
05/08/2017,Atlantic Alliance Partnership Corp.,Merger/Acquisition,Cancelled,Kalyx Development Inc.,Polar Asset Management Partners Inc.; Oxford Asset Management LLP,IQTR430112152,"OTCPK:AAPC.F
Company: Atlantic Alliance Partnership Corp.
(IQT292985242) - 4/30/2015",Operating
03/24/2016,Atlantic Alliance Partnership Corp.,Merger/Acquisition,Cancelled,Hawkwing plc (LSE:HNG),Polar Asset Management Partners Inc.; AAP Sponsor (PTC) Corp.,IQTR329091604,"OTCPK:AAPC.F
Company: Atlantic Alliance Partnership Corp.
(IQT292985242) - 4/30/2015",Operating
11/08/2016,Aumento Capital V Corporation,Merger/Acquisition,Closed,WeedMD Inc. (TSXV:WMD),-,IQTR408996658,"TSXV:AMN.P
Company: Aumento Capital V Corporation
(IQT274081604) - 5/22/2015",Acquired
12/22/2017,Aumento Capital VI Corporation,Merger/Acquisition,Closed,CryptoStar Corp. (TSXV:CSTR),Zambian Holdings Inc.,IQTR547601098,"TSXV:AUO.P
Company: Aumento Capital VI Corporation
(IQT431508106) - 9/18/2017",Acquired
05/27/2020,Aumento Capital VII Corporation (TSXV:AUOC.P),Merger/Acquisition,Announced,Paul Pathak Professional Corporation,-,IQTR669496817,"TSXV:AUOC.P
Company: Aumento Capital VII Corporation
(IQT551065894) - 3/29/2018",Operating
05/19/2020,Aumento Capital VII Corporation (TSXV:AUOC.P),Merger/Acquisition,Announced,EMERGE Commerce Inc.,-,IQTR668607701,"TSXV:AUOC.P
Company: Aumento Capital VII Corporation
(IQT551065894) - 3/29/2018",Operating
04/20/2020,Auston Capital Corp. (TSXV:ASTN.P),Merger/Acquisition,Announced,"Diagnostic Lab Corporation, Inc.",-,IQTR664915334,"TSXV:ASTN.P
Company: Auston Capital Corp.
(IQT571433603) - 4/1/2019",Operating
06/03/2019,Auston Capital Corp. (TSXV:ASTN.P),Merger/Acquisition,Cancelled,Cloris Ltd.,-,IQTR618289197,"TSXV:ASTN.P
Company: Auston Capital Corp.
(IQT571433603) - 4/1/2019",Operating
09/25/2017,Avanco Capital Corp.,Merger/Acquisition,Closed,Hill Street Beverage Company Inc. (TSXV:BEER),-,IQTR538657964,"TSXV:AAA.P
Company: Avanco Capital Corp.
(IQT424152493) - 3/24/2017",Acquired
08/17/2018,Avista Healthcare Public Acquisition Corp.,Merger/Acquisition,Closed,Organogenesis Holdings Inc. (NasdaqCM:ORGO),-,IQTR577941151,"NasdaqCM:AHPA
Company: Avista Healthcare Public Acquisition Corp.
(IQT403671096) - 1/5/2017",Acquired
12/12/2019,B. Riley Principal Merger Corp.,Merger/Acquisition,Closed,Alta Equipment Group Inc. (NYSE:ALTG),"B. Riley Principal Investments, LLC",IQTR647850350,"NYSE:BRPM
Company: B. Riley Principal Merger Corp.
(IQT605669884) - 4/25/2019",Acquired
06/24/2020,B. Riley Principal Merger Corp. II,Merger/Acquisition,Closed,"Eos Energy Enterprises, Inc. (NasdaqCM:EOSE)","B. Riley Principal Investments, LLC",IQTR673453957,"NYSE:BMRG
Company: B. Riley Principal Merger Corp. II
(IQT665508019) - 6/3/2020",Acquired
04/02/2018,Baetis Ventures Ltd.,Merger/Acquisition,Closed,RE Royalties Ltd. (TSXV:RE),-,IQTR557916710,"TSXV:BATS.P
Company: Baetis Ventures Ltd.
(IQT552152839) - 2/14/2018",Acquired
04/04/2018,"Bally, Corp. (OTCPK:BLYQ)",Merger/Acquisition,Closed,-,"Aureas Capital Co., Ltd.; NYJJ Investments Limited",IQTR558168019,"OTCPK:BLYQ
Company: Bally, Corp.
(IQT278101791) - 10/22/2018",Operating
